,state,min,max
2018-09-04 16:04:06.294363,58.0,40.0,70.0
2018-09-04 16:04:07.295463,58.0,40.0,70.0
2018-09-04 16:04:08.205554,58.0,40.0,70.0
2018-09-04 16:04:09.193653,58.0,40.0,70.0
2018-09-04 16:04:10.193753,58.0,40.0,70.0
2018-09-04 16:04:11.243858,58.0,40.0,70.0
2018-09-04 16:04:12.243958,58.0,40.0,70.0
2018-09-04 16:04:16.542388,58.0,40.0,70.0
2018-09-04 16:04:17.447478,58.0,40.0,70.0
2018-09-04 16:04:18.445578,58.0,40.0,70.0
2018-09-04 16:04:19.453679,58.0,40.0,70.0
2018-09-04 16:04:20.494783,58.0,40.0,70.0
2018-09-04 16:04:21.494883,58.0,40.0,70.0
2018-09-04 16:04:22.443978,58.0,40.0,70.0
2018-09-04 16:04:23.495083,58.0,40.0,70.0
2018-09-04 16:04:24.394173,58.0,40.0,70.0
2018-09-04 16:04:25.345268,58.0,40.0,70.0
2018-09-04 16:04:29.541687,58.0,40.0,70.0
2018-09-04 16:08:37.604491,57.0,40.0,70.0
2018-09-04 16:08:38.510582,57.0,40.0,70.0
2018-09-04 16:08:39.354666,57.0,40.0,70.0
2018-09-04 16:08:40.304761,57.0,40.0,70.0
2018-09-04 16:08:41.210852,57.0,40.0,70.0
2018-09-04 16:08:42.004931,57.0,40.0,70.0
2018-09-04 16:08:42.905021,57.0,40.0,70.0
2018-09-04 16:08:43.805111,57.0,40.0,70.0
2018-09-04 16:08:44.705201,57.0,40.0,70.0
2018-09-04 16:08:45.605291,57.0,40.0,70.0
2018-09-04 16:08:46.505381,57.0,40.0,70.0
2018-09-04 16:08:47.355466,57.0,40.0,70.0
2018-09-04 16:08:48.304561,57.0,40.0,70.0
2018-09-04 16:08:49.205651,57.0,40.0,70.0
2018-09-04 16:08:50.155746,57.0,40.0,70.0
2018-09-04 16:08:51.054836,57.0,40.0,70.0
2018-09-04 16:08:51.905921,57.0,40.0,70.0
